,日期,累计疑似
815,2022年4月10日,28
816,2022年4月11日,26
817,2022年4月12日,26
818,2022年4月13日,15
819,2022年4月14日,16
820,2022年4月15日,12
821,2022年4月16日,12
822,2022年4月17日,5
823,2022年4月18日,5
824,2022年4月19日,6
825,2022年4月20日,2
826,2022年4月21日,2
827,2022年4月22日,2
828,2022年4月23日,2
829,2022年4月24日,2
830,2022年4月25日,2
831,2022年4月26日,0
832,2022年4月27日,0
833,2022年4月28日,0
834,2022年4月29日,0
835,2022年4月30日,0
836,2022年5月1日,0
837,2022年5月2日,1
838,2022年5月3日,1
839,2022年5月4日,0
840,2022年5月5日,0
841,2022年5月6日,1
842,2022年5月7日,0
843,2022年5月8日,0
844,2022年5月9日,0
845,2022年5月10日,0
846,2022年5月11日,1
847,2022年5月12日,1
848,2022年5月13日,0
849,2022年5月14日,0
850,2022年5月15日,0
851,2022年5月16日,0
852,2022年5月17日,0
853,2022年5月18日,0
854,2022年5月19日,0
855,2022年5月20日,0
856,2022年5月21日,0
857,2022年5月22日,0
858,2022年5月23日,1
859,2022年5月24日,1
860,2022年5月25日,0
861,2022年5月26日,0
862,2022年5月27日,3
863,2022年5月28日,3
864,2022年5月29日,5
865,2022年5月30日,0
866,2022年5月31日,0
867,2022年6月1日,0
868,2022年6月2日,0
869,2022年6月3日,0
870,2022年6月4日,0
871,2022年6月5日,0
872,2022年6月6日,0
873,2022年6月7日,0
874,2022年6月8日,0
875,2022年6月9日,1
876,2022年6月10日,2
